Donor_ID,Donation_Count,Total_Quantity_KG,Average_Quantity_KG,Donor_Name,Donor_Type,City
DNR510974,3,100.28,33.43,Donor 10975,Household,Kolkata
DNR510972,3,73.19,24.4,Donor 10973,Restaurant,Kolkata
DNR510969,3,68.45,22.82,Donor 10970,Restaurant,Pune
DNR510958,3,61.55,20.52,Donor 10959,Household,Jaipur
DNR501613,3,67.29,22.43,Donor 1614,Household,Remote
DNR505471,3,93.66,31.22,Donor 5472,Hotel,Kolkata
DNR505463,3,49.24,16.41,Donor 5464,Hotel,Hyderabad
DNR501621,3,103.62,34.54,Donor 1622,Cafeteria,Delhi NCR
DNR501620,3,45.9,15.3,Donor 1621,Restaurant,Kolkata
DNR510948,3,68.16,22.72,Donor 10949,Event,Delhi NCR
DNR510942,3,82.23,27.41,Donor 10943,Restaurant,Mumbai
DNR510941,3,71.88,23.96,Donor 10942,Cafeteria,Pune
DNR505435,3,49.3,16.43,Donor 5436,Cafeteria,Hyderabad
DNR505433,3,101.99,34.0,Donor 5434,Cafeteria,Kolkata
DNR505429,3,84.69,28.23,Donor 5430,Hotel,Delhi NCR
DNR505458,3,114.79,38.26,Donor 5459,Restaurant,Jaipur
DNR505457,3,55.87,18.62,Donor 5458,Event,Hyderabad
DNR505452,3,25.11,8.37,Donor 5453,Household,Mumbai
DNR501605,3,79.59,26.53,Donor 1606,Restaurant,Bengaluru
DNR501627,3,78.13,26.04,Donor 1628,Grocery Store,Hyderabad
DNR508506,3,44.2,14.73,Donor 8507,Hotel,Hyderabad
DNR508505,3,78.42,26.14,Donor 8506,Household,Bengaluru
DNR506000,3,137.08,45.69,Donor 6001,Hotel,Ahmedabad
DNR505404,3,98.75,32.92,Donor 5405,Grocery Store,Chennai
DNR505401,3,75.24,25.08,Donor 5402,Event,Chennai
DNR508533,3,87.23,29.08,Donor 8534,Household,Chennai
DNR508532,3,59.05,19.68,Donor 8533,Hotel,Chennai
DNR501137,3,106.5,35.5,Donor 1138,Grocery Store,Bengaluru
DNR501135,3,110.78,36.93,Donor 1136,Hotel,Bengaluru
DNR501134,3,68.44,22.81,Donor 1135,Cafeteria,Bengaluru
DNR501132,3,38.6,12.87,Donor 1133,Restaurant,Hyderabad
DNR501158,3,120.45,40.15,Donor 1159,Grocery Store,Pune
DNR506009,3,89.15,29.72,Donor 6010,Restaurant,Mumbai
DNR508159,3,54.06,18.02,Donor 8160,Event,Mumbai
DNR508154,3,116.31,38.77,Donor 8155,Hotel,Kolkata
DNR508149,3,152.43,50.81,Donor 8150,Event,Remote
DNR508147,3,59.93,19.98,Donor 8148,Restaurant,Mumbai
DNR508518,3,64.17,21.39,Donor 8519,Restaurant,Chennai
DNR505439,3,125.59,41.86,Donor 5440,Event,Jaipur
DNR505386,3,101.32,33.77,Donor 5387,Household,Kolkata
DNR501658,3,74.71,24.9,Donor 1659,Household,Hyderabad
DNR510931,3,75.99,25.33,Donor 10932,Event,Bengaluru
DNR510925,3,39.03,13.01,Donor 10926,Restaurant,Delhi NCR
DNR510923,3,43.11,14.37,Donor 10924,Grocery Store,Delhi NCR
DNR501691,3,88.9,29.63,Donor 1692,Hotel,Bengaluru
DNR501685,3,81.71,27.24,Donor 1686,Household,Jaipur
DNR505379,3,69.72,23.24,Donor 5380,Restaurant,Bengaluru
DNR508549,3,102.81,34.27,Donor 8550,Restaurant,Bengaluru
DNR505408,3,139.03,46.34,Donor 5409,Restaurant,Remote
DNR505405,3,68.31,22.77,Donor 5406,Hotel,Kolkata
DNR510939,3,102.8,34.27,Donor 10940,Restaurant,Bengaluru
DNR501655,3,50.07,16.69,Donor 1656,Cafeteria,Ahmedabad
DNR501647,3,62.1,20.7,Donor 1648,Household,Ahmedabad
DNR501640,3,81.3,27.1,Donor 1641,Hotel,Kolkata
DNR501673,3,87.73,29.24,Donor 1674,Cafeteria,Remote
DNR505374,3,29.49,9.83,Donor 5375,Restaurant,Chennai
DNR511264,3,127.71,42.57,Donor 11265,Hotel,Remote
DNR501121,3,65.2,21.73,Donor 1122,Household,Pune
DNR501120,3,28.42,9.47,Donor 1121,Hotel,Hyderabad
DNR501119,3,47.51,15.84,Donor 1120,Grocery Store,Chennai
DNR501118,3,94.68,31.56,Donor 1119,Grocery Store,Ahmedabad
DNR501117,3,112.05,37.35,Donor 1118,Restaurant,Kolkata
DNR501116,3,56.29,18.76,Donor 1117,Household,Remote
DNR501142,3,102.01,34.0,Donor 1143,Restaurant,Bengaluru
DNR506028,3,79.14,26.38,Donor 6029,Hotel,Bengaluru
DNR506026,3,104.64,34.88,Donor 6027,Household,Hyderabad
DNR508134,3,48.71,16.24,Donor 8135,Bakery,Hyderabad
DNR508133,3,52.98,17.66,Donor 8134,Household,Chennai
DNR505373,3,67.85,22.62,Donor 5374,Bakery,Remote
DNR505396,3,72.12,24.04,Donor 5397,Household,Pune
DNR505393,3,15.17,5.06,Donor 5394,Household,Ahmedabad
DNR501709,3,73.78,24.59,Donor 1710,Restaurant,Bengaluru
DNR501698,3,86.17,28.72,Donor 1699,Event,Bengaluru
DNR505354,3,87.45,29.15,Donor 5355,Household,Ahmedabad
DNR501103,3,83.04,27.68,Donor 1104,Restaurant,Remote
DNR501102,3,135.03,45.01,Donor 1103,Bakery,Hyderabad
DNR501101,3,94.41,31.47,Donor 1102,Restaurant,Chennai
DNR511274,3,54.42,18.14,Donor 11275,Cafeteria,Remote
DNR511270,3,76.92,25.64,Donor 11271,Household,Chennai
DNR511268,3,88.02,29.34,Donor 11269,Event,Kolkata
DNR508563,3,146.36,48.79,Donor 8564,Restaurant,Hyderabad
DNR501684,3,48.54,16.18,Donor 1685,Cafeteria,Chennai
DNR501683,3,83.48,27.83,Donor 1684,Restaurant,Pune
DNR501677,3,79.22,26.41,Donor 1678,Cafeteria,Bengaluru
DNR501676,3,89.13,29.71,Donor 1677,Household,Jaipur
DNR510919,3,44.29,14.76,Donor 10920,Restaurant,Pune
DNR510911,3,100.85,33.62,Donor 10912,Hotel,Bengaluru
DNR508591,3,58.53,19.51,Donor 8592,Restaurant,Pune
DNR506073,3,72.13,24.04,Donor 6074,Restaurant,Ahmedabad
DNR506071,3,72.16,24.05,Donor 6072,Event,Remote
DNR501084,3,92.9,30.97,Donor 1085,Event,Remote
DNR501079,3,62.06,20.69,Donor 1080,Restaurant,Ahmedabad
DNR508117,3,38.49,12.83,Donor 8118,Hotel,Ahmedabad
DNR508579,3,88.48,29.49,Donor 8580,Restaurant,Remote
DNR505345,3,48.95,16.32,Donor 5346,Restaurant,Pune
DNR505340,3,105.69,35.23,Donor 5341,Restaurant,Mumbai
DNR505334,3,80.57,26.86,Donor 5335,Cafeteria,Remote
DNR505332,3,174.79,58.26,Donor 5333,Cafeteria,Hyderabad
DNR505329,3,83.15,27.72,Donor 5330,Household,Jaipur
DNR505361,3,80.28,26.76,Donor 5362,Restaurant,Chennai
DNR505359,3,115.43,38.48,Donor 5360,Cafeteria,Pune
DNR505357,3,77.74,25.91,Donor 5358,Restaurant,Chennai
DNR505355,3,50.66,16.89,Donor 5356,Hotel,Bengaluru
DNR510893,3,84.02,28.01,Donor 10894,Household,Jaipur
DNR510892,3,92.17,30.72,Donor 10893,Restaurant,Hyderabad
DNR510886,3,100.04,33.35,Donor 10887,Event,Mumbai
DNR501763,3,89.6,29.87,Donor 1764,Event,Chennai
DNR505307,3,101.92,33.97,Donor 5308,Restaurant,Delhi NCR
DNR505306,3,98.65,32.88,Donor 5307,Restaurant,Kolkata
DNR505305,3,90.71,30.24,Donor 5306,Bakery,Remote
DNR505303,3,99.15,33.05,Donor 5304,Grocery Store,Hyderabad
DNR505299,3,115.09,38.36,Donor 5300,Hotel,Bengaluru
DNR505327,3,52.86,17.62,Donor 5328,Restaurant,Chennai
DNR501720,3,104.64,34.88,Donor 1721,Restaurant,Mumbai
DNR501719,3,55.96,18.65,Donor 1720,Hotel,Chennai
DNR501716,3,85.39,28.46,Donor 1717,Cafeteria,Bengaluru
DNR505321,3,65.46,21.82,Donor 5322,Event,Chennai
DNR505313,3,79.6,26.53,Donor 5314,Restaurant,Ahmedabad
DNR505312,3,102.74,34.25,Donor 5313,Cafeteria,Pune
DNR510882,3,98.48,32.83,Donor 10883,Restaurant,Remote
DNR510867,3,39.68,13.23,Donor 10868,Cafeteria,Chennai
DNR501728,3,68.71,22.9,Donor 1729,Grocery Store,Delhi NCR
DNR508109,3,89.03,29.68,Donor 8110,Restaurant,Remote
DNR501071,3,51.44,17.15,Donor 1072,Cafeteria,Kolkata
DNR501068,3,48.64,16.21,Donor 1069,Event,Chennai
DNR501062,3,68.11,22.7,Donor 1063,Household,Kolkata
DNR501058,3,86.14,28.71,Donor 1059,Bakery,Kolkata
DNR511305,3,85.46,28.49,Donor 11306,Household,Jaipur
DNR511298,3,123.01,41.0,Donor 11299,Cafeteria,Bengaluru
DNR506082,3,65.82,21.94,Donor 6083,Hotel,Delhi NCR
DNR508098,3,74.7,24.9,Donor 8099,Household,Pune
DNR508097,3,90.79,30.26,Donor 8098,Restaurant,Jaipur
DNR510902,3,74.24,24.75,Donor 10903,Event,Hyderabad
DNR510897,3,112.52,37.51,Donor 10898,Restaurant,Remote
DNR510896,3,40.77,13.59,Donor 10897,Hotel,Pune
DNR505236,3,57.54,19.18,Donor 5237,Hotel,Remote
DNR501773,3,74.2,24.73,Donor 1774,Grocery Store,Bengaluru
DNR501767,3,67.24,22.41,Donor 1768,Restaurant,Remote
DNR510861,3,75.23,25.08,Donor 10862,Restaurant,Ahmedabad
DNR510860,3,48.67,16.22,Donor 10861,Hotel,Chennai
DNR510849,3,52.96,17.65,Donor 10850,Restaurant,Bengaluru
DNR505260,3,98.54,32.85,Donor 5261,Restaurant,Remote
DNR508631,3,101.31,33.77,Donor 8632,Grocery Store,Pune
DNR508620,3,89.85,29.95,Donor 8621,Hotel,Ahmedabad
DNR508617,3,69.96,23.32,Donor 8618,Bakery,Hyderabad
DNR505290,3,60.42,20.14,Donor 5291,Restaurant,Kolkata
DNR505286,3,85.48,28.49,Donor 5287,Bakery,Delhi NCR
DNR505283,3,54.23,18.08,Donor 5284,Bakery,Bengaluru
DNR508613,3,26.72,8.91,Donor 8614,Cafeteria,Delhi NCR
DNR508611,3,56.46,18.82,Donor 8612,Event,Mumbai
DNR508608,3,84.29,28.1,Donor 8609,Hotel,Chennai
DNR508095,3,90.21,30.07,Donor 8096,Cafeteria,Bengaluru
DNR508090,3,97.77,32.59,Donor 8091,Household,Jaipur
DNR501043,3,55.13,18.38,Donor 1044,Bakery,Bengaluru
DNR501040,3,63.96,21.32,Donor 1041,Grocery Store,Chennai
DNR511321,3,55.05,18.35,Donor 11322,Household,Remote
DNR511320,3,83.66,27.89,Donor 11321,Cafeteria,Delhi NCR
DNR511317,3,75.99,25.33,Donor 11318,Cafeteria,Kolkata
DNR511314,3,82.99,27.66,Donor 11315,Hotel,Remote
DNR511311,3,59.31,19.77,Donor 11312,Hotel,Jaipur
DNR501078,3,42.84,14.28,Donor 1079,Restaurant,Bengaluru
DNR501076,3,61.69,20.56,Donor 1077,Restaurant,Mumbai
DNR501074,3,58.34,19.45,Donor 1075,Cafeteria,Chennai
DNR508086,3,96.37,32.12,Donor 8087,Hotel,Chennai
DNR505248,3,118.57,39.52,Donor 5249,Cafeteria,Remote
DNR505246,3,118.09,39.36,Donor 5247,Restaurant,Jaipur
DNR505245,3,83.13,27.71,Donor 5246,Restaurant,Jaipur
DNR510809,3,49.22,16.41,Donor 10810,Grocery Store,Jaipur
DNR501843,3,53.64,17.88,Donor 1844,Restaurant,Ahmedabad
DNR501841,3,93.17,31.06,Donor 1842,Restaurant,Bengaluru
DNR506117,3,61.73,20.58,Donor 6118,Hotel,Jaipur
DNR506106,3,88.54,29.51,Donor 6107,Restaurant,Ahmedabad
DNR501036,3,39.9,13.3,Donor 1037,Household,Kolkata
DNR501031,3,72.87,24.29,Donor 1032,Household,Chennai
DNR501055,3,111.67,37.22,Donor 1056,Bakery,Delhi NCR
DNR501002,3,32.33,10.78,Donor 1003,Cafeteria,Pune
DNR511341,3,113.72,37.91,Donor 11342,Restaurant,Jaipur
DNR505220,3,42.64,14.21,Donor 5221,Household,Bengaluru
DNR505219,3,40.0,13.33,Donor 5220,Household,Kolkata
DNR501803,3,71.79,23.93,Donor 1804,Restaurant,Ahmedabad
DNR501794,3,99.74,33.25,Donor 1795,Hotel,Delhi NCR
DNR505253,3,71.06,23.69,Donor 5254,Household,Mumbai
DNR508096,3,100.91,33.64,Donor 8097,Household,Bengaluru
DNR501828,3,143.31,47.77,Donor 1829,Event,Bengaluru
DNR501827,3,38.74,12.91,Donor 1828,Event,Hyderabad
DNR510803,3,74.24,24.75,Donor 10804,Household,Jaipur
DNR510801,3,60.36,20.12,Donor 10802,Household,Chennai
DNR510800,3,90.39,30.13,Donor 10801,Hotel,Hyderabad
DNR510799,3,84.56,28.19,Donor 10800,Grocery Store,Delhi NCR
DNR505169,3,114.32,38.11,Donor 5170,Restaurant,Jaipur
DNR505167,3,59.13,19.71,Donor 5168,Cafeteria,Mumbai
DNR505194,3,80.96,26.99,Donor 5195,Event,Remote
DNR505187,3,79.48,26.49,Donor 5188,Hotel,Ahmedabad
DNR505186,3,68.6,22.87,Donor 5187,Grocery Store,Bengaluru
DNR505204,3,54.08,18.03,Donor 5205,Bakery,Hyderabad
DNR508682,3,69.21,23.07,Donor 8683,Restaurant,Mumbai
DNR508675,3,80.5,26.83,Donor 8676,Grocery Store,Chennai
DNR510831,3,71.4,23.8,Donor 10832,Cafeteria,Mumbai
DNR510829,3,63.11,21.04,Donor 10830,Bakery,Ahmedabad
DNR508692,3,84.81,28.27,Donor 8693,Cafeteria,Chennai
DNR511339,3,98.35,32.78,Donor 11340,Cafeteria,Remote
DNR511337,3,74.12,24.71,Donor 11338,Hotel,Delhi NCR
DNR511331,3,127.93,42.64,Donor 11332,Restaurant,Kolkata
DNR511328,3,61.42,20.47,Donor 11329,Grocery Store,Remote
DNR501038,3,80.06,26.69,Donor 1039,Cafeteria,Delhi NCR
DNR501037,3,79.92,26.64,Donor 1038,Restaurant,Jaipur
DNR506131,3,81.81,27.27,Donor 6132,Hotel,Mumbai
DNR506129,3,74.23,24.74,Donor 6130,Event,Jaipur
DNR506124,3,102.36,34.12,Donor 6125,Grocery Store,Remote
DNR508083,3,89.79,29.93,Donor 8084,Event,Delhi NCR
DNR508081,3,55.39,18.46,Donor 8082,Bakery,Mumbai
DNR508079,3,51.07,17.02,Donor 8080,Household,Kolkata
DNR508068,3,124.64,41.55,Donor 8069,Household,Chennai
DNR501838,3,71.67,23.89,Donor 1839,Household,Jaipur
DNR501832,3,95.27,31.76,Donor 1833,Restaurant,Chennai
DNR505128,3,94.7,31.57,Donor 5129,Restaurant,Chennai
DNR505126,3,111.97,37.32,Donor 5127,Hotel,Mumbai
DNR508716,3,44.03,14.68,Donor 8717,Household,Kolkata
DNR508711,3,44.0,14.67,Donor 8712,Cafeteria,Delhi NCR
DNR508706,3,89.51,29.84,Donor 8707,Household,Bengaluru
DNR508704,3,78.15,26.05,Donor 8705,Hotel,Delhi NCR
DNR510786,3,44.02,14.67,Donor 10787,Event,Ahmedabad
DNR501864,3,47.14,15.71,Donor 1865,Restaurant,Delhi NCR
DNR501863,3,86.45,28.82,Donor 1864,Household,Bengaluru
DNR501854,3,95.81,31.94,Donor 1855,Restaurant,Delhi NCR
DNR501853,3,64.88,21.63,Donor 1854,Restaurant,Pune
DNR501850,3,75.73,25.24,Donor 1851,Household,Bengaluru
DNR505164,3,60.74,20.25,Donor 5165,Household,Remote
DNR505153,3,95.7,31.9,Donor 5154,Cafeteria,Chennai
DNR508702,3,60.58,20.19,Donor 8703,Household,Pune
DNR508700,3,138.96,46.32,Donor 8701,Restaurant,Ahmedabad
DNR500965,3,63.86,21.29,Donor 966,Event,Hyderabad
DNR500964,3,114.64,38.21,Donor 965,Cafeteria,Ahmedabad
DNR500993,3,57.02,19.01,Donor 994,Household,Remote
DNR500986,3,69.49,23.16,Donor 987,Grocery Store,Kolkata
DNR500982,3,90.13,30.04,Donor 983,Household,Kolkata
DNR501019,3,88.96,29.65,Donor 1020,Hotel,Chennai
DNR501012,3,112.24,37.41,Donor 1013,Restaurant,Hyderabad
DNR501010,3,62.48,20.83,Donor 1011,Household,Delhi NCR
DNR501009,3,88.26,29.42,Donor 1010,Restaurant,Pune
DNR508063,3,46.8,15.6,Donor 8064,Restaurant,Chennai
DNR506153,3,66.07,22.02,Donor 6154,Cafeteria,Ahmedabad
DNR506149,3,91.38,30.46,Donor 6150,Restaurant,Kolkata
DNR506147,3,64.93,21.64,Donor 6148,Hotel,Bengaluru
DNR506173,3,105.98,35.33,Donor 6174,Cafeteria,Jaipur
DNR510773,3,23.66,7.89,Donor 10774,Hotel,Ahmedabad
DNR501902,3,158.12,52.71,Donor 1903,Cafeteria,Delhi NCR
DNR501940,3,103.92,34.64,Donor 1941,Household,Jaipur
DNR501936,3,71.31,23.77,Donor 1937,Household,Jaipur
DNR501935,3,37.28,12.43,Donor 1936,Cafeteria,Pune
DNR505094,3,88.92,29.64,Donor 5095,Hotel,Hyderabad
DNR505117,3,84.21,28.07,Donor 5118,Hotel,Remote
DNR505116,3,152.63,50.88,Donor 5117,Hotel,Chennai
DNR505115,3,66.05,22.02,Donor 5116,Hotel,Delhi NCR
DNR505111,3,56.34,18.78,Donor 5112,Restaurant,Kolkata
DNR508728,3,86.32,28.77,Donor 8729,Bakery,Bengaluru
DNR501899,3,101.19,33.73,Donor 1900,Grocery Store,Jaipur
DNR510754,3,72.93,24.31,Donor 10755,Restaurant,Hyderabad
DNR506169,3,86.14,28.71,Donor 6170,Cafeteria,Bengaluru
DNR511345,3,86.77,28.92,Donor 11346,Event,Jaipur
DNR500975,3,84.68,28.23,Donor 976,Event,Delhi NCR
DNR500970,3,54.83,18.28,Donor 971,Cafeteria,Delhi NCR
DNR500967,3,34.69,11.56,Donor 968,Grocery Store,Jaipur
DNR508760,3,36.37,12.12,Donor 8761,Restaurant,Remote
DNR508759,3,52.69,17.56,Donor 8760,Restaurant,Delhi NCR
DNR508051,3,62.81,20.94,Donor 8052,Hotel,Kolkata
DNR508042,3,73.49,24.5,Donor 8043,Cafeteria,Hyderabad
DNR500950,3,86.0,28.67,Donor 951,Hotel,Ahmedabad
DNR511361,3,33.01,11.0,Donor 11362,Event,Delhi NCR
DNR511359,3,58.88,19.63,Donor 11360,Grocery Store,Mumbai
DNR506188,3,90.41,30.14,Donor 6189,Grocery Store,Pune
DNR506186,3,79.5,26.5,Donor 6187,Household,Pune
DNR506180,3,78.01,26.0,Donor 6181,Restaurant,Pune
DNR506179,3,50.51,16.84,Donor 6180,Restaurant,Chennai
DNR501920,3,91.88,30.63,Donor 1921,Household,Hyderabad
DNR501918,3,84.21,28.07,Donor 1919,Household,Delhi NCR
DNR501917,3,59.82,19.94,Donor 1918,Event,Chennai
DNR501911,3,39.05,13.02,Donor 1912,Cafeteria,Bengaluru
DNR501909,3,177.94,59.31,Donor 1910,Grocery Store,Kolkata
DNR505077,3,111.35,37.12,Donor 5078,Cafeteria,Hyderabad
DNR505074,3,64.9,21.63,Donor 5075,Bakery,Delhi NCR
DNR506219,3,56.86,18.95,Donor 6220,Restaurant,Jaipur
DNR506216,3,76.0,25.33,Donor 6217,Cafeteria,Hyderabad
DNR506205,3,97.37,32.46,Donor 6206,Restaurant,Remote
DNR500933,3,113.54,37.85,Donor 934,Event,Chennai
DNR500930,3,82.03,27.34,Donor 931,Event,Pune
DNR511387,3,86.32,28.77,Donor 11388,Restaurant,Kolkata
DNR511374,3,32.87,10.96,Donor 11375,Restaurant,Remote
DNR511370,3,85.27,28.42,Donor 11371,Restaurant,Kolkata
DNR500960,3,120.7,40.23,Donor 961,Hotel,Mumbai
DNR510742,3,111.22,37.07,Donor 10743,Event,Ahmedabad
DNR510733,3,97.8,32.6,Donor 10734,Event,Pune
DNR510730,3,117.96,39.32,Donor 10731,Restaurant,Delhi NCR
DNR505069,3,95.41,31.8,Donor 5070,Grocery Store,Jaipur
DNR505064,3,40.16,13.39,Donor 5065,Hotel,Pune
DNR501972,3,72.42,24.14,Donor 1973,Household,Chennai
DNR501967,3,75.02,25.01,Donor 1968,Event,Delhi NCR
DNR501989,3,100.13,33.38,Donor 1990,Cafeteria,Chennai
DNR501950,3,54.3,18.1,Donor 1951,Hotel,Delhi NCR
DNR501947,3,39.05,13.02,Donor 1948,Restaurant,Ahmedabad
DNR501941,3,81.68,27.23,Donor 1942,Household,Pune
DNR510726,3,103.1,34.37,Donor 10727,Hotel,Chennai
DNR510714,3,88.17,29.39,Donor 10715,Restaurant,Mumbai
DNR510712,3,88.37,29.46,Donor 10713,Household,Delhi NCR
DNR510710,3,70.99,23.66,Donor 10711,Restaurant,Pune
DNR510708,3,40.38,13.46,Donor 10709,Cafeteria,Pune
DNR510707,3,71.12,23.71,Donor 10708,Cafeteria,Bengaluru
DNR508779,3,69.03,23.01,Donor 8780,Hotel,Kolkata
DNR508775,3,51.22,17.07,Donor 8776,Restaurant,Delhi NCR
DNR508773,3,89.26,29.75,Donor 8774,Cafeteria,Mumbai
DNR505078,3,107.83,35.94,Donor 5079,Cafeteria,Jaipur
DNR506249,3,67.28,22.43,Donor 6250,Hotel,Chennai
DNR506248,3,74.11,24.7,Donor 6249,Restaurant,Mumbai
DNR506283,3,83.57,27.86,Donor 6284,Restaurant,Mumbai
DNR508026,3,159.28,53.09,Donor 8027,Event,Remote
DNR508021,3,51.77,17.26,Donor 8022,Cafeteria,Remote
DNR508020,3,64.05,21.35,Donor 8021,Grocery Store,Chennai
DNR506237,3,40.89,13.63,Donor 6238,Cafeteria,Bengaluru
DNR500919,3,58.37,19.46,Donor 920,Cafeteria,Hyderabad
DNR500916,3,64.96,21.65,Donor 917,Event,Bengaluru
DNR500944,3,66.39,22.13,Donor 945,Household,Mumbai
DNR500941,3,47.84,15.95,Donor 942,Hotel,Ahmedabad
DNR500939,3,62.13,20.71,Donor 940,Event,Bengaluru
DNR506222,3,67.79,22.6,Donor 6223,Grocery Store,Jaipur
DNR505061,3,130.39,43.46,Donor 5062,Grocery Store,Pune
DNR505054,3,111.0,37.0,Donor 5055,Cafeteria,Kolkata
DNR505049,3,83.64,27.88,Donor 5050,Hotel,Remote
DNR510679,3,45.34,15.11,Donor 10680,Hotel,Remote
DNR505021,3,90.21,30.07,Donor 5022,Bakery,Chennai
DNR505016,3,59.52,19.84,Donor 5017,Cafeteria,Kolkata
DNR505014,3,131.92,43.97,Donor 5015,Grocery Store,Remote
DNR505012,3,89.17,29.72,Donor 5013,Cafeteria,Pune
DNR505008,3,44.8,14.93,Donor 5009,Household,Mumbai
DNR505045,3,74.39,24.8,Donor 5046,Cafeteria,Pune
DNR505033,3,60.79,20.26,Donor 5034,Restaurant,Delhi NCR
DNR508011,3,43.28,14.43,Donor 8012,Household,Hyderabad
DNR508009,3,62.77,20.92,Donor 8010,Bakery,Delhi NCR
DNR508002,3,97.64,32.55,Donor 8003,Hotel,Jaipur
DNR508001,3,70.06,23.35,Donor 8002,Household,Mumbai
DNR500901,3,90.25,30.08,Donor 902,Household,Ahmedabad
DNR511405,3,67.12,22.37,Donor 11406,Hotel,Kolkata
DNR511403,3,79.42,26.47,Donor 11404,Hotel,Hyderabad
DNR506254,3,83.2,27.73,Donor 6255,Cafeteria,Pune
DNR508813,3,72.6,24.2,Donor 8814,Restaurant,Chennai
DNR508812,3,77.48,25.83,Donor 8813,Bakery,Remote
DNR508811,3,53.18,17.73,Donor 8812,Household,Delhi NCR
DNR508809,3,52.3,17.43,Donor 8810,Household,Chennai
DNR502033,3,51.21,17.07,Donor 2034,Restaurant,Jaipur
DNR502022,3,88.73,29.58,Donor 2023,Event,Pune
DNR502053,3,102.77,34.26,Donor 2054,Cafeteria,Remote
DNR504995,3,73.49,24.5,Donor 4996,Cafeteria,Jaipur
DNR504992,3,114.66,38.22,Donor 4993,Restaurant,Hyderabad
DNR504991,3,96.89,32.3,Donor 4992,Household,Ahmedabad
DNR504990,3,91.78,30.59,Donor 4991,Household,Pune
DNR508795,3,73.77,24.59,Donor 8796,Hotel,Mumbai
DNR508791,3,70.65,23.55,Donor 8792,Hotel,Hyderabad
DNR502003,3,82.45,27.48,Donor 2004,Hotel,Pune
DNR510683,3,97.78,32.59,Donor 10684,Restaurant,Chennai
DNR510682,3,142.16,47.39,Donor 10683,Restaurant,Chennai
DNR504968,3,94.65,31.55,Donor 4969,Cafeteria,Ahmedabad
DNR508821,3,74.72,24.91,Donor 8822,Restaurant,Chennai
DNR508814,3,50.61,16.87,Donor 8815,Cafeteria,Hyderabad
DNR506280,3,73.4,24.47,Donor 6281,Restaurant,Remote
DNR500894,3,84.52,28.17,Donor 895,Cafeteria,Kolkata
DNR500885,3,82.21,27.4,Donor 886,Household,Remote
DNR500883,3,71.49,23.83,Donor 884,Household,Kolkata
DNR500882,3,40.34,13.45,Donor 883,Restaurant,Pune
DNR500878,3,78.82,26.27,Donor 879,Hotel,Pune
DNR500908,3,94.34,31.45,Donor 909,Grocery Store,Jaipur
DNR506276,3,45.73,15.24,Donor 6277,Cafeteria,Pune
DNR506273,3,97.46,32.49,Donor 6274,Restaurant,Ahmedabad
DNR506269,3,75.15,25.05,Donor 6270,Hotel,Kolkata
DNR506266,3,85.7,28.57,Donor 6267,Event,Chennai
DNR506265,3,78.34,26.11,Donor 6266,Cafeteria,Remote
DNR506300,3,54.83,18.28,Donor 6301,Grocery Store,Pune
DNR502066,3,72.06,24.02,Donor 2067,Event,Mumbai
DNR510629,3,35.62,11.87,Donor 10630,Cafeteria,Mumbai
DNR510628,3,126.58,42.19,Donor 10629,Hotel,Delhi NCR
DNR510626,3,46.15,15.38,Donor 10627,Bakery,Kolkata
DNR510623,3,75.89,25.3,Donor 10624,Restaurant,Delhi NCR
DNR510621,3,93.44,31.15,Donor 10622,Restaurant,Chennai
DNR504956,3,56.27,18.76,Donor 4957,Event,Chennai
DNR504955,3,72.45,24.15,Donor 4956,Hotel,Chennai
DNR504954,3,49.97,16.66,Donor 4955,Restaurant,Bengaluru
DNR504987,3,79.66,26.55,Donor 4988,Restaurant,Hyderabad
DNR504972,3,26.61,8.87,Donor 4973,Grocery Store,Kolkata
DNR510661,3,113.96,37.99,Donor 10662,Hotel,Remote
DNR510660,3,98.36,32.79,Donor 10661,Event,Jaipur
DNR510650,3,68.94,22.98,Donor 10651,Grocery Store,Pune
DNR502075,3,78.78,26.26,Donor 2076,Hotel,Hyderabad
DNR502074,3,82.02,27.34,Donor 2075,Restaurant,Pune
DNR508838,3,70.35,23.45,Donor 8839,Bakery,Remote
DNR506296,3,99.36,33.12,Donor 6297,Household,Hyderabad
DNR500867,3,58.75,19.58,Donor 868,Household,Pune
DNR500861,3,64.2,21.4,Donor 862,Restaurant,Hyderabad
DNR500859,3,105.87,35.29,Donor 860,Restaurant,Chennai
DNR511421,3,85.88,28.63,Donor 11422,Event,Delhi NCR
DNR511416,3,104.21,34.74,Donor 11417,Bakery,Bengaluru
DNR511412,3,113.61,37.87,Donor 11413,Household,Kolkata
DNR506290,3,88.14,29.38,Donor 6291,Event,Mumbai
DNR508829,3,65.24,21.75,Donor 8830,Hotel,Bengaluru
DNR504966,3,105.03,35.01,Donor 4967,Restaurant,Bengaluru
DNR504965,3,84.04,28.01,Donor 4966,Hotel,Hyderabad
DNR504963,3,129.98,43.33,Donor 4964,Household,Chennai
DNR504962,3,72.16,24.05,Donor 4963,Event,Kolkata
DNR502073,3,116.31,38.77,Donor 2074,Bakery,Chennai
DNR502068,3,72.92,24.31,Donor 2069,Restaurant,Jaipur
DNR508857,3,83.89,27.96,Donor 8858,Cafeteria,Remote
